Aircraft ID,TFMS Flight_Index,Unique Flight_ID,Date,Departure Airport,Departure Date,Departure Time,Arrival Airport,Arrival Date,Arrival Time,User Class,Physical Class,Aircraft Type
N757AF,280845,20100825634024,25-Aug-10,BFI,20100825,16:37:00,PDX,20100825,17:10:00,General Aviation,Jet,B752
N757AF,308946,20100825634025,25-Aug-10,PDX,20100825,21:30:00,LAS,20100825,23:10:11,General Aviation,Jet,B752
N757AF,201941,20100904299257,4-Sep-10,LAS,20100904,19:03:00,BQK,20100904,22:57:27,General Aviation,Jet,B752
N757AF,208465,20110525097981,25-May-11,BQK,20110525,23:09:22,BQK,20110526,0:51:24,General Aviation,Jet,B752
N757AF,272285,20110601650461,1-Jun-11,BQK,20110601,19:28:32,LGA,20110601,23:13:29,General Aviation,Jet,B752
N757AF,442698,20110603859413,3-Jun-11,LGA,20110603,20:14:00,IAD,20110603,20:56:29,General Aviation,Jet,B752
N757AF,480847,20110604884252,4-Jun-11,IAD,20110604,1:08:00,LGA,20110604,1:58:14,General Aviation,Jet,B752
N757AF,33955,20110607189838,7-Jun-11,LGA,20110607,18:46:00,ISP,20110607,19:01:29,General Aviation,Jet,B752
N757AF,484861,20110618174103,18-Jun-11,ISP,20110618,14:31:00,LGA,20110618,14:51:49,General Aviation,Jet,B752
N757AF,46905,20110620291002,20-Jun-11,LGA,20110620,3:57:00,EGPD,20110620,10:22:51,General Aviation,Jet,B752
N757AF,131661,20110621364293,21-Jun-11,EGPD,20110621,7:45:06,LFPG,20110621,9:16:00,General Aviation,Jet,B752
N757AF,253278,20110622463252,22-Jun-11,EGPD,20110622,11:42:00,EWR,20110622,18:28:18,General Aviation,Jet,B752
N757AF,76890,20110625766951,25-Jun-11,EWR,20110625,13:59:00,SJC,20110625,19:37:29,General Aviation,Jet,B752
N757AF,79051,20110625766952,25-Jun-11,SJC,20110625,22:17:00,LGB,20110625,23:11:10,General Aviation,Jet,B752
N757AF,176050,20110626794541,26-Jun-11,LGB,20110626,21:24:00,LGA,20110627,2:13:08,General Aviation,Jet,B752
N757AF,418088,20110706665571,6-Jul-11,LGA,20110706,12:17:00,MPTO,20110706,16:41:56,General Aviation,Jet,B752
N757AF,468166,20110706665578,6-Jul-11,MPTO,20110706,22:26:28,LGA,20110707,3:21:30,General Aviation,Jet,B752
N757AF,338720,20110727508150,27-Jul-11,LGA,20110727,11:31:00,MIA,20110727,13:55:13,General Aviation,Jet,B752
